"Date","Apple","Samsung","LG","Motorola","Unknown","Google","HTC","ZTE","Huawei","Nokia","Alcatel","Xiaomi","RIM","OnePlus","Kyocera","Sony","Lenovo","Oppo","T-Mobile","Coolpad","Asus","Vivo","Realme","Micromax","Mobicel","Pantech","Sumsung","Blu","Infinix","RCA","HP","Tecno","Nintendo","Sharp","Unimax","TCL","General Mobile","AT&T","BBK","Other"
2019-01,57.22,25.38,5.49,3.66,1.09,2.27,0.29,0.9,0.76,0.13,0.23,0.85,0.06,0.21,0.08,0.12,0.22,0.28,0.02,0.1,0.08,0,0,0.02,0.2,0,0.03,0.02,0.03,0.01,0.01,0.03,0.01,0,0,0,0.02,0,0.03,0.16
2019-02,57.33,25.14,5.51,3.72,1.2,2.36,0.28,0.82,0.75,0.14,0.22,0.86,0.06,0.21,0.07,0.12,0.21,0.27,0.02,0.09,0.08,0,0,0.02,0.22,0,0.03,0.02,0.01,0.01,0.01,0.03,0.01,0,0,0,0.02,0,0.03,0.16
2019-03,54.74,25.59,6.7,3.6,1.16,2.22,0.26,1.09,0.85,0.17,0.43,0.8,0.07,0.39,0.13,0.21,0.2,0.32,0.06,0.07,0.19,0,0,0.01,0.19,0,0.11,0.03,0.02,0.01,0.01,0.03,0.01,0,0,0,0.01,0,0.04,0.28
2019-04,54.61,25.43,6.54,3.73,1.38,2.34,0.26,0.99,0.94,0.17,0.49,0.75,0.08,0.42,0.12,0.23,0.18,0.31,0.06,0.07,0.19,0,0,0.01,0.19,0,0.12,0.03,0.02,0.01,0.01,0.02,0.01,0,0,0,0.02,0,0.03,0.26
2019-05,53.62,25.67,6.85,3.77,1.9,2.42,0.23,0.96,0.97,0.16,0.46,0.68,0.04,0.43,0.12,0.21,0.17,0.32,0.05,0.06,0.18,0,0,0.02,0.18,0,0.13,0.02,0.02,0.01,0.01,0.02,0,0,0,0,0.01,0,0.03,0.26
2019-06,52.95,26.1,6.75,3.93,2.14,2.6,0.21,0.97,0.93,0.16,0.43,0.68,0.04,0.43,0.13,0.17,0.17,0.26,0.06,0.06,0.16,0,0,0.02,0.18,0,0.14,0.02,0.02,0.01,0.01,0.02,0,0,0,0,0.01,0,0.03,0.23
2019-07,55.67,24.8,6.24,3.84,1.56,2.52,0.19,0.84,0.96,0.16,0.36,0.71,0.05,0.43,0.1,0.16,0.19,0.27,0.05,0.06,0.14,0,0,0.02,0.2,0,0.14,0.02,0.02,0.01,0.01,0.02,0.01,0,0,0,0.01,0,0.03,0.23
2019-08,55.55,24.17,6.38,3.88,1.5,2.6,0.19,0.78,1.05,0.17,0.65,0.82,0.04,0.44,0.09,0.15,0.17,0.3,0.05,0.05,0.14,0.01,0.02,0.02,0.22,0,0.14,0.02,0.02,0.01,0.01,0.02,0,0,0.04,0,0.01,0,0.03,0.27
2019-09,55.65,25.07,6.27,3.76,0.97,2.51,0.18,0.67,1.23,0.17,0.59,0.72,0.03,0.5,0.08,0.15,0.15,0.25,0.04,0.11,0.12,0.01,0.04,0.02,0.2,0,0.13,0.02,0.02,0.01,0.01,0.02,0,0,0.04,0,0.01,0,0.02,0.24
2019-10,54.25,26.79,6.4,3.58,0.94,2.5,0.16,0.63,1.19,0.17,0.58,0.67,0.03,0.54,0.08,0.12,0.14,0.22,0.04,0.14,0.1,0,0.04,0.01,0.19,0,0.13,0.02,0.02,0.01,0.01,0.02,0,0,0.04,0,0.01,0,0.02,0.2
2019-11,55.7,26.29,6.03,3.45,0.84,2.51,0.13,0.56,1.11,0.17,0.52,0.6,0.02,0.52,0.1,0.11,0.13,0.21,0.05,0.15,0.09,0,0.05,0.01,0.18,0,0.12,0.01,0.02,0.01,0.01,0.02,0,0,0.05,0,0.01,0,0.02,0.17
2019-12,55.55,26.95,6.01,3.44,0.81,2.55,0.12,0.52,0.92,0.16,0.52,0.48,0.02,0.54,0.13,0.1,0.1,0.16,0.07,0.17,0.08,0,0.04,0,0.14,0,0.11,0.01,0.02,0,0,0.01,0,0,0.06,0,0.01,0,0.01,0.16
2020-01,57.42,25.64,5.61,3.19,0.74,2.54,0.11,0.45,1.06,0.17,0.5,0.54,0.02,0.57,0.1,0.1,0.11,0.17,0.08,0.17,0.08,0.01,0.04,0,0.14,0,0.11,0.01,0.02,0.01,0,0.02,0,0,0.07,0,0.01,0.01,0.01,0.17
2020-02,58.4,25.1,5.4,3.09,0.72,2.54,0.1,0.4,1.07,0.18,0.49,0.54,0.02,0.58,0.09,0.09,0.1,0.16,0.08,0.16,0.07,0.01,0.04,0,0.13,0,0.1,0.01,0.02,0,0,0.02,0,0,0.05,0,0.01,0.03,0.02,0.18
2020-03,60.1,24.37,5.05,2.91,0.67,2.49,0.09,0.34,1.01,0.15,0.46,0.48,0.02,0.57,0.08,0.09,0.09,0.14,0.07,0.14,0.07,0.01,0.04,0,0.12,0,0.09,0.01,0.02,0,0,0.02,0,0,0.04,0,0.01,0.04,0.01,0.19
2020-04,61.25,23.9,4.92,2.8,0.61,2.41,0.08,0.32,0.9,0.14,0.47,0.43,0.02,0.56,0.08,0.08,0.09,0.13,0.07,0.14,0.06,0.01,0.03,0,0.11,0,0.09,0.01,0.02,0,0,0.01,0,0,0.04,0,0.01,0.04,0.01,0.18
2020-05,58.46,25.11,5.43,3.24,0.76,2.58,0.08,0.4,0.94,0.14,0.62,0.39,0.02,0.57,0.1,0.08,0.11,0.1,0.07,0.14,0.06,0.01,0.03,0,0.09,0,0.11,0.01,0.02,0,0.01,0.02,0,0,0.06,0,0.01,0.04,0.01,0.18
2020-06,58.17,25.59,5.05,3.3,0.84,2.71,0.08,0.3,1.07,0.16,0.45,0.44,0.02,0.61,0.1,0.08,0.1,0.1,0.07,0.12,0.06,0.01,0.03,0,0.1,0,0.11,0.01,0.02,0,0.01,0.02,0,0,0.05,0,0.01,0.05,0.01,0.18
2020-07,58.78,25.22,4.74,3.34,0.89,2.67,0.07,0.27,1.08,0.17,0.41,0.47,0.02,0.61,0.1,0.08,0.12,0.12,0.06,0.11,0.06,0.01,0.03,0,0.12,0,0.1,0.01,0.02,0,0.01,0.02,0,0,0.03,0,0.01,0.05,0.01,0.18
2020-08,59.33,24.93,4.57,3.34,0.96,2.57,0.06,0.25,1.1,0.17,0.4,0.47,0.02,0.6,0.1,0.08,0.12,0.12,0.06,0.1,0.05,0.01,0.03,0,0.11,0,0.1,0.01,0.02,0,0.01,0.03,0,0,0.02,0,0.01,0.05,0.01,0.17
2020-09,59.72,24.72,4.54,3.3,0.93,2.53,0.06,0.23,1.08,0.17,0.37,0.5,0.02,0.62,0.1,0.07,0.11,0.13,0.06,0.1,0.05,0.01,0.04,0,0.11,0,0.1,0,0.04,0,0,0.04,0,0,0.02,0,0,0.05,0.01,0.16
2020-10,60.21,24.37,4.42,3.32,1.04,2.54,0.05,0.21,0.96,0.16,0.34,0.54,0.02,0.61,0.09,0.07,0.11,0.15,0.05,0.1,0.05,0.01,0.05,0,0.09,0,0.1,0,0.05,0,0,0.04,0,0,0.02,0,0,0.05,0.01,0.16
2020-11,61.23,23.79,4.14,3.29,1.25,2.51,0.05,0.18,0.88,0.15,0.29,0.53,0.02,0.59,0.1,0.07,0.11,0.15,0.03,0.1,0.05,0.01,0.06,0,0,0,0.09,0,0.05,0,0,0.05,0,0,0.01,0,0,0.05,0.01,0.15
2020-12,61.07,24.12,4.33,3.21,0.94,2.34,0.05,0.17,0.84,0.14,0.27,0.59,0.01,0.58,0.1,0.06,0.11,0.17,0.09,0.09,0.05,0.14,0.08,0,0,0,0.09,0,0.05,0,0,0.05,0,0,0.05,0,0,0.04,0.01,0.14
2021-01,61.47,23.8,4.24,3.15,0.92,2.37,0.04,0.16,0.84,0.14,0.25,0.62,0.01,0.56,0.09,0.06,0.11,0.2,0.12,0.08,0.04,0.16,0.09,0,0,0,0.09,0,0.06,0,0,0.05,0,0,0.05,0,0,0.04,0.01,0.16
2021-02,60.72,24.1,4.35,3.24,1,2.34,0.04,0.16,0.83,0.15,0.24,0.7,0.01,0.58,0.09,0.06,0.13,0.21,0.14,0.09,0.04,0.19,0.11,0,0,0,0.09,0,0.06,0,0,0.06,0,0,0.05,0,0,0.04,0.01,0.16
2021-03,59.98,24.37,4.4,3.36,1.14,2.35,0.04,0.15,0.88,0.15,0.23,0.74,0.01,0.6,0.09,0.05,0.11,0.24,0.15,0.09,0.04,0.22,0.13,0,0,0,0.09,0,0.06,0,0,0.06,0,0,0.05,0,0,0.04,0.01,0.14
2021-04,59.13,24.47,4.35,3.46,1.69,2.33,0.04,0.14,0.92,0.17,0.2,0.83,0.02,0.59,0.09,0.06,0.11,0.26,0.16,0.09,0.05,0.23,0.14,0,0,0,0.08,0,0.06,0,0,0.05,0,0,0.05,0,0,0.03,0.01,0.14
2021-05,58.1,24.92,4.47,3.57,1.94,2.29,0.03,0.14,0.93,0.16,0.19,0.91,0.01,0.58,0.09,0.05,0.13,0.29,0.18,0.1,0.05,0.26,0.16,0,0,0,0.09,0,0.06,0,0,0.06,0,0,0.06,0,0,0.03,0.01,0.14
2021-06,57.62,25.43,4.54,3.75,1.52,2.24,0.03,0.13,0.92,0.17,0.19,0.98,0.01,0.58,0.1,0.06,0.12,0.32,0.19,0.1,0.05,0.29,0.18,0,0,0,0.09,0,0.06,0,0,0.06,0,0,0.07,0,0,0.03,0.01,0.15
2021-07,57.26,25.66,4.49,3.86,1.59,2.23,0.03,0.13,0.9,0.18,0.19,0.94,0.01,0.61,0.09,0.06,0.13,0.31,0.2,0.1,0.05,0.28,0.17,0,0,0,0.09,0,0.07,0,0,0.07,0,0,0.1,0,0,0.03,0.01,0.15
2021-08,56.7,27.06,4.16,3.74,1.04,2.19,0.03,0.12,0.88,0.15,0.17,0.94,0.01,0.83,0.09,0.04,0.13,0.3,0.2,0.08,0.04,0.29,0.16,0,0,0,0.08,0,0.09,0,0,0.08,0,0,0.24,0,0,0.03,0.01,0.14
2021-09,57.08,27.05,4.04,3.82,1.06,2.12,0.02,0.11,0.83,0.14,0.16,0.92,0.01,0.82,0.09,0.04,0.12,0.28,0.19,0.08,0.04,0.27,0.16,0,0,0,0.07,0,0.08,0,0,0.07,0,0,0.14,0,0,0.03,0.01,0.13
2021-10,57.46,27.17,3.92,3.89,1.04,2.08,0.03,0.1,0.77,0.14,0.15,0.84,0.01,0.79,0.09,0.04,0.12,0.25,0.17,0.08,0.04,0.23,0.14,0,0,0,0.07,0,0.07,0,0,0.06,0,0,0.11,0,0,0.02,0.01,0.12
2021-11,58.47,26.89,3.64,3.92,1.04,1.99,0.02,0.09,0.68,0.13,0.13,0.78,0.01,0.77,0.08,0.04,0.11,0.21,0.16,0.07,0.03,0.19,0.12,0,0,0,0.07,0,0.06,0,0,0.05,0,0,0.09,0,0,0.02,0.01,0.1
2021-12,59.15,26.44,3.32,3.94,1.06,2.38,0.02,0.08,0.64,0.13,0.12,0.72,0.01,0.73,0.08,0.04,0.11,0.18,0.14,0.06,0.03,0.16,0.11,0,0,0,0.07,0,0.05,0,0,0.04,0,0,0.06,0,0,0.02,0,0.09
2022-01,59.87,26.45,2.99,3.91,0.91,2.28,0.02,0.07,0.43,0.13,0.11,0.65,0.01,0.83,0.08,0.04,0.1,0.17,0.22,0.05,0.03,0.15,0.11,0,0,0,0.06,0,0.05,0,0,0.04,0,0,0.05,0.06,0,0.04,0,0.08
2022-02,57.87,27.85,3.06,4.32,0.88,2.38,0.02,0.09,0.33,0.17,0.11,0.61,0.01,0.86,0.09,0.03,0.09,0.19,0.25,0.05,0.03,0.17,0.11,0,0,0,0.07,0,0.06,0,0,0.05,0,0,0.05,0.07,0,0.05,0,0.08
2022-03,57.65,28,2.89,4.53,0.99,2.38,0.02,0.08,0.34,0.19,0.1,0.59,0.01,0.85,0.09,0.03,0.09,0.17,0.25,0.05,0.03,0.17,0.1,0,0,0,0.07,0,0.06,0,0,0.04,0,0,0.04,0.07,0,0.04,0,0.08
2022-04,57.58,27.9,2.76,4.69,1.11,2.47,0.02,0.07,0.33,0.16,0.09,0.59,0.01,0.85,0.09,0.04,0.09,0.16,0.26,0.04,0.03,0.17,0.11,0,0,0,0.07,0,0.05,0,0,0.04,0,0,0.04,0.06,0,0.04,0.01,0.07
2022-05,57.43,28.08,2.61,4.79,1.02,2.46,0.02,0.06,0.35,0.18,0.09,0.66,0,0.84,0.08,0.04,0.08,0.18,0.25,0.04,0.03,0.18,0.11,0,0,0,0.06,0.01,0.06,0,0,0.05,0,0,0.04,0.07,0,0.04,0.01,0.08
2022-06,56.65,29.01,2.5,4.89,0.96,2.33,0.02,0.06,0.34,0.19,0.09,0.67,0,0.85,0.07,0.03,0.09,0.19,0.26,0.04,0.03,0.19,0.12,0,0,0,0.06,0.01,0.06,0,0,0.05,0,0,0.03,0.07,0,0.04,0.01,0.08
2022-07,55.26,30.4,2.49,5.02,0.95,2.3,0.02,0.06,0.32,0.2,0.08,0.64,0,0.83,0.07,0.03,0.09,0.18,0.27,0.04,0.02,0.17,0.12,0,0,0,0.06,0.01,0.06,0,0,0.05,0,0,0.03,0.08,0,0.04,0,0.08
2022-08,57.03,29.11,2.29,4.77,1,2.23,0.02,0.06,0.34,0.19,0.08,0.67,0,0.81,0.07,0.03,0.09,0.19,0.26,0.04,0.02,0.17,0.13,0,0,0,0.06,0.01,0.06,0,0,0.05,0,0,0.03,0.08,0,0.04,0.01,0.09
2022-09,55.43,30.11,2.2,4.92,0.99,2.28,0.04,0.05,0.37,0.19,0.07,0.7,0.01,0.84,0.07,0.03,0.09,0.22,0.31,0.04,0.02,0.21,0.16,0,0,0,0.06,0.04,0.07,0,0,0.06,0,0,0.03,0.13,0,0.05,0.01,0.21
2022-10,54.47,30.83,2.09,5.11,0.9,2.34,0.04,0.05,0.32,0.21,0.06,0.62,0.01,0.87,0.09,0.03,0.09,0.21,0.36,0.03,0.02,0.21,0.15,0,0,0,0.05,0.08,0.08,0,0,0.07,0,0,0.02,0.18,0,0.07,0.01,0.33
2022-11,55.72,29.76,1.87,5.19,0.95,2.26,0.04,0.05,0.3,0.2,0.06,0.67,0.01,0.88,0.08,0.04,0.08,0.23,0.34,0.03,0.02,0.21,0.16,0,0,0,0.05,0.08,0.08,0,0,0.07,0,0,0.02,0.18,0,0.06,0.01,0.31
2022-12,55.85,29.81,1.81,4.9,1.04,2.17,0.04,0.04,0.3,0.2,0.05,0.75,0.01,0.88,0.08,0.03,0.08,0.25,0.31,0.03,0.02,0.25,0.19,0,0,0,0.05,0.08,0.1,0,0,0.08,0,0,0.02,0.19,0,0.06,0.01,0.31
2023-01,57.77,28.57,1.68,4.59,1.08,2.11,0.04,0.05,0.29,0.17,0.05,0.75,0.01,0.83,0.08,0.03,0.09,0.24,0.26,0.03,0.02,0.24,0.19,0,0,0,0.05,0.07,0.1,0,0,0.07,0,0,0.02,0.18,0,0.06,0.01,0.28
2023-02,57.06,29.36,1.65,4.65,1.07,2.16,0.03,0.04,0.28,0.17,0.05,0.75,0,0.81,0.08,0.03,0.08,0.22,0.25,0.03,0.02,0.22,0.16,0,0,0,0.05,0.07,0.1,0,0,0.08,0,0,0.01,0.17,0,0.05,0.01,0.27
2023-03,56.82,29.47,1.81,4.74,1.18,2.1,0.06,0.05,0.28,0.21,0.04,0.7,0.01,0.78,0.08,0.03,0.08,0.19,0.24,0.03,0.02,0.19,0.15,0,0,0,0.05,0.07,0.08,0,0,0.07,0,0,0.01,0.16,0,0.05,0.01,0.26
2023-04,59.89,26.79,1.62,4.44,1.33,1.98,0.07,0.04,0.3,0.22,0.04,0.73,0.01,0.76,0.06,0.03,0.08,0.21,0.23,0.03,0.02,0.22,0.16,0,0,0,0.04,0.07,0.09,0,0,0.08,0,0,0.01,0.15,0,0.05,0.01,0.26
2023-05,62,24.77,1.31,4.06,2.11,1.97,0.04,0.03,0.27,0.18,0.04,0.71,0.01,0.71,0.06,0.03,0.07,0.25,0.23,0.02,0.01,0.23,0.17,0,0,0,0.04,0.08,0.09,0,0,0.08,0,0,0.01,0.14,0,0.04,0.01,0.24
2023-06,57.38,26.76,1.3,4.41,3.63,2.52,0.07,0.03,0.25,0.22,0.03,0.69,0.01,0.75,0.06,0.03,0.07,0.23,0.38,0.02,0.01,0.21,0.16,0,0,0,0.04,0.12,0.09,0,0,0.08,0,0,0.01,0.13,0,0.04,0.01,0.24
2023-07,57.12,26.72,1.2,4.34,4.06,2.52,0.04,0.03,0.27,0.18,0.03,0.74,0.01,0.75,0.06,0.03,0.07,0.25,0.36,0.02,0.01,0.23,0.18,0,0,0,0.04,0.12,0.1,0,0,0.09,0,0,0.01,0.13,0,0.04,0.01,0.24
2023-08,56.92,26.37,1.16,4.22,4.67,2.48,0.06,0.02,0.31,0.19,0.03,0.93,0.01,0.72,0.06,0.03,0.07,0.23,0.34,0.02,0.01,0.22,0.17,0,0,0,0.03,0.12,0.09,0,0,0.09,0,0,0.01,0.12,0,0.04,0.01,0.24
2023-09,56.44,26.56,1.08,4.23,4.96,2.42,0.06,0.02,0.32,0.2,0.03,1.05,0.01,0.69,0.06,0.03,0.07,0.23,0.34,0.02,0.02,0.22,0.18,0,0,0,0.03,0.12,0.1,0,0,0.1,0,0,0.01,0.11,0,0.04,0,0.23
2023-10,56.59,26.66,1.02,4.21,4.51,2.72,0.06,0.02,0.29,0.2,0.03,0.99,0.01,0.71,0.06,0.03,0.07,0.24,0.33,0.02,0.02,0.23,0.16,0,0,0,0.03,0.11,0.12,0,0,0.12,0,0,0.01,0.13,0,0.04,0,0.24
2023-11,58.33,24.83,0.89,3.92,4.96,2.56,0.06,0.02,0.32,0.2,0.03,1.09,0.01,0.7,0.05,0.04,0.07,0.26,0.32,0.02,0.02,0.26,0.18,0,0,0,0.03,0.1,0.14,0,0,0.13,0,0,0.01,0.15,0,0.04,0.01,0.26
2023-12,61.3,22.06,0.68,3.5,5.65,2.37,0.06,0.02,0.34,0.19,0.03,1.16,0.01,0.62,0.05,0.04,0.07,0.27,0.25,0.01,0.02,0.28,0.2,0,0,0,0.02,0.08,0.15,0,0,0.15,0,0,0,0.14,0,0.03,0.01,0.24
